country	party	ches
at	bzö	1307
at	cpö	
at	euaus	
at	fpö	1303
at	green	1304
at	grüne	1304
at	jetzt	
at	kpö	
at	lif	1306
at	nbz	
at	neos	1306
at	övp	1302
at	spö	1301
at	wandel	
be	agalev	105
be	cd&v	109
be	cdh	108
be	cvp	109
be	ecolo	104
be	fn	115
be	groen	105
be	mr	106
be	nva	110
be	prl	106
be	ps	102
be	psc	108
be	sp	103
be	sp.a	103
be	spa	103
be	vb	112
be	vld	107
be	vu	110
ch	bdp
ch	csp
ch	cvp
ch	edu
ch	evp
ch	fdp
ch	fp
ch	fpap
ch	glp
ch	gps
ch	grüne
ch	guten
ch	ldu
ch	mcg
ch	pda
ch	piraten
ch	sd
ch	sps
ch	svp
ch	up
es	bng	513
es	cc	517
es	ciu	526
es	iu	504
es	pnv	506
es	pp	502
es	psoe	501
es	pxc	
fr	fdg	624
fr	fn	610
fr	mlp	
fr	mnr	620
fr	mod	613
fr	mpf	612
fr	pcf	601
fr	ps	602
fr	rpr	609
fr	udf	613
fr	ump	609
fr	vg	605
ie	ddi	
ie	ff	701
ie	fg	702
ie	gr	705
ie	green	705
ie	ind	711
ie	lab	703
ie	labour	703
ie	pbp	709
ie	pd	706
ie	renua	712
ie	sd	
ie	sf	
ie	sp	
ie	ula	
nl	cda	1001
nl	cu	1016
nl	d66	104
nl	gl	1005
nl	lpf	1015
nl	pvda	1002
nl	pvdd	1018
nl	pvv	1017
nl	sp	1014
nl	vvd	1003
sa	anc
sa	dadp
sa	dpda
sa	eff
sa	ifp
uk	bnp	1109
uk	brexit	1110
uk	can	1101
uk	con	1101
uk	dup	1151
uk	green	1107
uk	greens	1107
uk	lab	1102
uk	lib	
uk	libdem	1104
uk	plaid	1106
uk	sdlp	
uk	sinnfein	1150
uk	snp	1105
uk	ukip	1108
uk	ulster_union	
us	dem
us	dem breckingridge
us	pro
us	rep
us	srd
us	whig
